,#images,GT #images w/ polys,Pred #images w/ polys,GT #polygons,Pred #polygons,GT #vertices,Pred #vertices
ffl/224/acm.tol_1/v3_image_vit_cnn_bs4x16,529,453,453,1134,1132,9844,16059
ffl/224/acm.tol_1/v3_lidar_pp_vit_cnn_bs2x16,529,453,453,1134,1431,9844,20717
ffl/224/fusion_vit_cnn_bs16,529,453,452,1134,1252,9844,29401
hisup/224/v3_image_hrnet224_bs4x16,529,453,445,1134,1068,9844,12127
hisup/224/v3_lidar_pp_vit_cnn_bs2x16,529,453,452,1134,1281,9844,16271
hisup/224/early_fusion_vit_cnn_bs16,529,453,448,1134,1217,9844,14738
pix2poly/224/image_only_bs4x16,529,453,428,1134,1106,9844,9422
pix2poly/224/v3_image_vit_bs4x16,529,453,289,1134,825,9844,4417
pix2poly/224/lidar_only_bs2x16,529,453,448,1134,1069,9844,9399
pix2poly/224/lidar_pp_vit_bs2x16,529,453,330,1134,1034,9844,8722
pix2poly/224/fusion_simple_bs4x32,529,453,442,1134,1094,9844,9392
pix2poly/224/fusion_bs2x16,529,453,443,1134,1075,9844,9463
